entity,number of mentiones,number of articles,text_ids,urls
IT,4,4,"text127
 text81
 text4
 text154","https://www.lastampa.it/economia/2023/08/17/news/smart_working_nomadi_digitali_35_milioni-13000068/
 https://www.ilfoglio.it/societa/2022/06/09/gallery/venezia-49-999-fra-le-rotte-anti-spopolamento-una-sola-e-veramente-nuova-4088802/
 https://askanews.it/2023/08/18/35-milioni-di-nomadi-digitali-1-su-2-cambia-casa-una-volta-al-mese/
 https://www.corriere.it/economia/lavoro/22_maggio_06/smart-working-l-imprenditore-che-lavora-camper-il-mio-ufficio-vista-mare-bb93482e-cc75-11ec-b523-191019bfc881.shtml"
Agenzia Lavoro & SviluppoImpresa,4,4,"text98
 text139
 text8
 text73","https://www.italpress.com/innovazione-rosolen-bini-fvg-sede-top-per-lavoratori-digitali/
 https://www.ilfriuli.it/articolo/economia/digitalmeet-fa-tappa-a-resia/4/272821
 http://www.ansa.it/nuova_europa/it/notizie/rubriche/altrenews/2022/10/03/airbnb-fvg-tra-le-20-localita-al-mondo-per-digital-nomads_dbf5ba67-0104-47d7-8520-092800c917c8.html
 https://www.ilfriuli.it/articolo/economia/smart-working-i-lavoratori-digitali-scelgono-il-fvg/4/272157"
Invitalia,4,4,"text98
 text86
 text8
 text73","https://www.italpress.com/innovazione-rosolen-bini-fvg-sede-top-per-lavoratori-digitali/
 https://messaggeroveneto.gelocal.it/udine/cronaca/2022/10/04/news/smart_working_per_airbnb_il_fvg_meta_ideale_per_i_nomadi_digitali-10254416/
 http://www.ansa.it/nuova_europa/it/notizie/rubriche/altrenews/2022/10/03/airbnb-fvg-tra-le-20-localita-al-mondo-per-digital-nomads_dbf5ba67-0104-47d7-8520-092800c917c8.html
 https://www.ilfriuli.it/articolo/economia/smart-working-i-lavoratori-digitali-scelgono-il-fvg/4/272157"
PNRR,4,2,"text15
 text152","https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
 https://www.ilfriuli.it/economia/visionalps-2023-tolmezzo/"
associazione italiano nomade digitale,4,3,"text126
 text66
 text21","https://www.repubblica.it/viaggi/2022/08/03/news/smart_working_case_vacanza-360247515/?rss
 https://www.adnkronos.com/Archivio/lavoro/dati/remote-worker-e-over-35-i-nomadi-digitali-promuovono-litalia_6bMz6FQE7uXtwZCGxpWocN
 https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi"
Fonarcom,4,2,"text22
 text31","https://www.ildenaro.it/cifa-italia-cafa-italia-si-candidi-a-meta-preferita-dei-nomadi-digitali/
 https://www.adnkronos.com/fisco-cafa-cifa-italia-sistema-sia-attrattivo-per-freelance-italia-meta-per-nomadi-digitali_6DKvEu1LzFXmLigXLBhNJk"
digital nomad,4,4,"text147
 text115
 text59
 text90","https://www.adnkronos.com/nomadi-digitali-consigli-pratici-per-guadagnare-con-linsegnamento-online-senza-smettere-di-viaggiare_6oAhgZXgKa2Wlu5AB4OFp6
 https://www.ansa.it/sicilia/notizie/speciali/2022/06/28/famiglia-francese-soggiorna-un-anno-gratis-in-sicilia-con-airbnb_1f3e6955-39a4-402e-b960-e2d31ecee44a.html
 https://www.adnkronos.com/nomadi-digitali-chi-sono-e-come-fanno-a-permettersi-di-girare-il-mondo_5xufzYVjqVcemyEJNaifG
 https://www.repubblica.it/economia/2024/07/25/news/nomadi_digitali_ecco_le_dieci_citta_piu_accoglienti_per_chi_vuole_lavorare_nella_grande_bellezza-423413422/?rss"
Inps,4,4,"text67
 text75
 text114
 text145","https://calabria.gazzettadelsud.it/articoli/cronaca/2024/08/08/ripopolamento-dei-borghi-calabresi-nuovi-investimenti-per-progetti-sui-comuni-montani-df68dd05-6b96-40b2-bf36-0dd31c25d5d5/?utm_source=immediafeed&utm_medium=feed&utm_campaign=hp_calabria
 https://www.lasicilia.it/ultimi-aggiornamenti/smart-working-quickfisco-le-5-cose-da-sapere-per-lavorare-da-ovunque-senza-problemi-1946516/
 https://www.giornaledicalabria.it/?p=314812
 https://iltirreno.gelocal.it/massa/cronaca/2021/03/07/news/lotta-per-sopravvivere-tra-crollo-del-fatturato-e-contributi-da-pagare-1.39998173"
Agenzia lavoro & SviluppoImpresa,4,3,"text116
 text74
 text117","https://www.italpress.com/fedriga-friuli-offre-opportunita-uniche-in-europa/
 https://www.ilfriuli.it/articolo/economia/smart-working-i-numeri-in-fvg-/4/277588
 https://askanews.it/2023/11/28/fedriga-a-londra-fvg-offre-opportunita-uniche-in-europa/"
NAFSA,4,2,"text136
 text138","https://www.ildenaro.it/consolato-usa-di-firenze-nuovi-servizi-per-gli-studenti-fuori-sede/
 https://www.lanazione.it/firenze/cronaca/da-firenze-agli-usa-il-progetto-che-punta-a-fare-degli-studenti-stranieri-dei-cittadini-c70189f2"
